data;tone
доставили быстро  все было хорошо запечатано  вкусные конфеты  спасибо ;1
??бомба ;1
масло было упаковано хорошо в коробку   но курьер силой запихнул коробку в маленькую ячейку   вытащить я не смог   пришлось в маленькой ячейке прям внутри  рвать коробку чтоб хоть как то достать посылку   ;2
очень впечатлена  на стекло к телефону со скидкой  очень бережная упаковка  в чехле  пупырке и коробке  пришло невредимым)O?быстрая доставка  спасибо ;1
упаковка орехов повреждена  часть орехов просыпалась в пакет… стало очень не удобно хранить…;2
одна упаковка товара была порвана и весь продукт вывалился  ;3
был сломан дозатор баллона;3
все вовремя ;1
доставка задержалась без предупреждения  товар приехал бракованный  ;3
на фото дозатор для жидкого мыла в серебряном цвете  мне доставили с бронзой ?;3
добрый день  баночка протекла  ;2
очень нравится получать посылки в постамате  быстро и без очереди ;1
отлично  доволен  осталось провести кулинарные испытания;1
быстрая доставка ;1
всё отлично)спасибо)))));1
постамат намного удобнее  чем поход на почту;1
товар не пришёл к указанному времени;3
очень быстрая доставка  внешне симпатичный  соответствует фотографии на сайте  впишется по цвету в цветовую гамму кухни  начало использования предполагается с 12-13 ноября - надеюсь на лучшее  но готов и к худшестям ;1
все отлично ??;1
всё норм-годность нормальная крем приятный во всех отношениях но не для очень сухой кожи ;1
заказывала с type c для андроида  пришёл для айфона  в жизни айфонов не было ;3
получение прекрасно  а сам заказ- дрянь   ;2
спасибо большое ;1
всё хорошо  курьерский пакет слабоват  но благодаря упаковке производителя листы не помялись  заказ доставлен даже раньше обозначенного времени ;1
??????;1
лампачка в рабочем состоянии  рыбки дововольные)) покупала для аквариума ;3
масло оригинал (коробка целая  чистая  без следов повреждения  проверял под ультрафиолетом маркировку на крышке)  цена по скидке приятно удивила - всего 6400 руб  за 5 литровую канистру  спасибо за такие скидки  буду заказывать еще  ;1
заказ прошёл легко  привезли быстро  пункт выдачи рядом  спасибо ;1
 пришло всё в срок ;1
не удобные беруши  слишком объёмные  плохо сжимаются и выпадают из ушей  ;3
все отлично  сервис на высоте  ?? ;1
доставка долго;2
упаковка конечно по полной  постарались  молодцы  ;1
хорошее освещение и не плохое разрешение  доволен полностью ;1
семечки грязноватые  много сора и мелкие -но для птиц ок ;2
всё идеально  спасибо;1
то что хотел ;1
всё хорошо  коробка цела  товар цел  ;1
первый раз  когда я пришла за товаром  ячейка была пуста  хотя срок хранения не вышел во второй раз ещё веселее  вместо капучинатора в ячейке елочная гирлянда ;3
немного помяли коробку  но я рада  что стеклянная баночка внутри не пострадала  в следующий раз такое лучше отправлять не в пакете  а в упаковочной коробке сверху);2
все прошло замечательно   товар был на месте в указанный день и время  спасибо ;1
хроший  не дорогой шампунь без вредных добавок для пены;1
не соответствует размерам  по ширене уже телефона на 4мм  по длинне аж6мм не хватает ;3
второй купили  проверили качество прошлый раз спасибо ;1
соответствует описанию  доставлено во время  проблем с получением в постомате не возникло ;1
заказ упакован хорошо  покупкой очень довольна и постоматы как всегда во всех доступных и удобных местах??;1
не мог найти постамат 15 минут  нет вывески;2
заказ был собран и доставлен в пункт выдачи вовремя  упакован в картонную коробку  всё аккуратно и надёжно  спасибо  ;1
всё супер??;1
пункт выдачи найти было сложно  напишите более понятный маршрут к нему  ;2
молния хорошо растегивается  спасибо за доставку ;1
  ;1
привезли вместо дорогостоящего dim  который стоит 3000  какой-то антиоксидант е-400 за 1000 рублей  который я вообще не заказывал  итого мошенничество  минус моих 3000 рублей и потерянные несколько дней ожидания заказа  ;3
не та модель не соответствует по описанию и комплектации  не работает с насадкой (насадки зажимают движущуюся пластину)  прислали модель которая в    е стоит в 3 раза дешевле чем я заплатил  ;3
хорошая крышечка   подобной пользуюсь несколько лет;1
немного заедает набор цифр на экране постамата  ;2
всё отлично  товар соответствует  спасибо ;1
негативное впечатление;3
всё отлично  спасибо ;1
товар тупо замотан в стрейч и а пакет я м  не совсем надежно  при транспортировке тара (товар) деформировалась  - балл;2
    супер  ;1
ячейка была пустой  товар не получен;3
хорошо бы на улице повесить указатель постамата ;2
благодарю  конфеты все знакомые и любимые))) сроки годности-все отличные буду заказывать ещё-для меня это удобно )));1
