data;problem
проверить товар в помещении где расположен постомат не возможно так как сотрудники магазина не дают ;Городская среда
ужасный пункт выдачи товаров  пивнушка  где не работает вытяжка  проведённые 2 минуты там — вся одежда воняет  упаковка тоже ;Городская среда
очень сложно найти постамат  описание в приложении не дает точной информации  желательно описать более подробно: какой вход  с какой стороны один из товаров имеет брак  буду обращаться за заменой;Городская среда
не понятно было - где находится постамат  нужно более подробное описание ;Городская среда
получил  заказ со второго раза  приехал в 21 час первый раз  закрыто  хотя на сайте написано до 23:00 график работы  ;Городская среда
нет обозначений   что в магазине присутствует   ;Городская среда
ставлю месту пункта выдачи 1/10  а товару 10/10 пункт работает с 9  а магазин  в котором он находится открывается в 10 :);Городская среда
упаковка была слегка порвана  постамат находится в подвольном помещении  ;Городская среда
навигация где находятся сами пастомат и нумерация ячеек на самом автомате ;Городская среда
исправьте время работы постмата  торговый центр открывается в 10:00   в остальном всё хорошо ;Городская среда
постамат в подвальном помещении и нет никаких указателей;Городская среда
был указан не верный адрес самовывоза  ;Городская среда
место расположения почтомата указано неверно ;Городская среда
постамат находится абсолютно не в очевидном месте  инструкция не сильно помогает  проще спросить у местных продавцов;Городская среда
по адресу: кисловодск  ул  жмакина  18 почему то не доступен для доставки товара постамат  а  хотя этот постамат работает  ;Городская среда
очень неудобно находятся пастоматы  искать тяжело  ;Городская среда
желательно описание подробного расположения коробки  чтобы не искать ее по всему тц  хотя бы этаж;Городская среда
очень расстроилась  что при оформлении было указано время 14 00  но привезли заказ после 18 часов  меня весь день прождал элекктрик  чтоб поменять счетчик  указывайте верное время;Городская среда
в приложении и смс не было указано  где именно находится постамат  был только адрес  пришлось узнавать  куда идти через сайт с негативными комментариями на эту тему для сравнения в озоне всегда указано  как пройти к пункту выдачи ;Городская среда
фотография пункта выдачи не соответствует действительности  пункт невозможно найти  помогла служба поддержки  прислав нормальную фотографию  замените фото на сайте ;Городская среда
надо чтобы в заказе писали  где находится постамат  например постамат по адресу… в магазине верный ;Городская среда
это был квест по нахождению пункта ;Городская среда
находиться в магазине маяк или авокадо (это одно и то же место);Городская среда
неправильная информация о том  как добраться  в магазине ткани нет прохода  и сотрудники явно устали от этого  потому что когда ты не находишь прохода к постамату  тебе очень грубо хамят :) исправьте информацию  там отдельный вход торговое помещение  вход под вывеской дом ткани  войдя  пройти через магазин  в конце зала спустить на несколько ступеней к запасному выходу  постамат расположен вдоль стены ;Городская среда
постомат работает с 10:00  а не с 9:00;Городская среда
писали доставят  в 18  часов  прлждали до 18 10 минут и уехали в сад а 19   10 минут пришла смс товар доставлен  ;Городская среда
каждый раз одно и тоже  приезжаю за заказом после работы  в пятницу в 19-05 уже висят железные жалюзи  та часть магазина  где находится постамт закрыта  приходится ехать с утра  очень неудобно  можно ли перенести аппарат в холл  рядом с другими терминалами?? ;Городская среда
все хорошо  только в описание измените что вход где кофейня кантата;Городская среда
на сайте указано количество 100 шт  по факту продают 2 шт за 371 рублей  развод  ;Городская среда
нет абсолютно никаких указателей что постомат находится именно там  установлен практически в подсобке  ;Городская среда
только со временем была заминка  в место 14 00 привезли в 18 30  плюс  в первый раз сделал заказ ;Городская среда
не очень понятно расположение постамата в помещении  нужен указатель ;Городская среда
не понятно где искать постомат ;Городская среда
описание входа неправильное  там не написано что мини  и салон красоты  а есть только вывеска вайлдберис;Городская среда
магазин дикси внезапно закрыли на технический перерыв  через обещанный час магазин так и не открыли  получил с 3го раза еще через 2 часа  плохой партнер ;Городская среда
график работы указан с 00:00 до 23:55  реально с 9 до 21  поэтому пришлось ехать второй раз ;Городская среда
"всё отлично  только не хватает вывески снаружи здания  что есть постамат "" - ""  либо я не заметил)) ";Городская среда
пункт выдачи никак ни обозначен на доме не понятно где куда заходить ни обозначений ни надписей ни указателей;Городская среда
постамат находится абсолютно не в очевидном месте  инструкция не сильно помогает  проще спросить у местных продавцов;Городская среда
неправильно указано время работы пункта выдачи   в субботу  работает до 19 00 в воскресенье до 18 00 ;Городская среда
в сб в 18-50 пункт был закрыт  а в вск вообще не работал ;Городская среда
на входе в здание отсутствует информация о наличии постампа    ;Городская среда
я в полном шоке: такого сервиса просто не ожидала  приходите  получайте  и не переживайте  если перед вами будет закрыта дверь  порекомендую  а вот постмат в дикси в качестве пункта доставки - однозначно нет ;Городская среда
кошмар  описание пункта выдачи не соответствует реальности  все подвалы  обошла  с большим трудом нашла  просто капец ;Городская среда
нет информации где находится пастомат ;Городская среда
"где ''блин"" вывеска?";Городская среда
пункт выдачи работает до 18  а смс получил 17 45  получить заказ просто невозможно  за-то потом пишут заберите заказ или отправим обратно ????????????? где логика ;Городская среда
спасибо  книга пришла раньше обещанной даты   минус   что в адресе доставки не указано где именно в доме находиться     пришлось ходить по дому и искать  хотелось бы конкретики именно где в какой организации стоят постматы ;Городская среда
очень долго не могла найти постомат  и игрушка не 25 см как указано в описании а меньше;Городская среда
навигатор не показывает в приложении ближайший пункт выдачи ;Городская среда
все хорошо  звезда снята  только за то  что работает помещение  где расположен пастомат   до 18 00  а в выходной до 17 00  не успеваю  работа не позволяет ;Городская среда
устал искать пассамат;Городская среда
это был квест  в доме 23 организации  где искать загадка  ни тебе таблички не другой какой информации  в 2гис тоже ничего  просто адрес где находится дом  а товар упакован отлично  так что претензии исключено к   ;Городская среда
не указано в описании что постоматы находятся относительно грузовых лифтов а не для посетителей которые  замучился искать ;Городская среда
самовывоз постамата  постамат некорректно завершил выдачу заказа  информация о получении не отображалась в приложении в течение часа ;Городская среда
просто ужасно расположен постомат в здание стоит дверь с домофон которая всегда закрыта  звонить не куда пришлось стоять на жаре ждать когда кто-нибудь откроет дверь ;Городская среда
плохое описание места нахождения пункта выдачи ;Городская среда
привезли как и обещали  постомат легко найти  описание подробное;Городская среда
есть идея  когда я в радиусе 50 м от пункта выдачи - приходит пуш чтобы забрал;Городская среда
расположение пункта не соответствует описанию в письме    находиться на цокольном этаже  ;Городская среда
пишите в каком магазине находиться ваш постомат  как то в мирное время  разведчиком приходиться работать  обходить дом  искать постомат))));Городская среда
совершенно не указано где находиться постомат  сам догадайся что он в парикмахерской стоит почему это не написано в карточке заказа ;Городская среда
написано доставят к 17:00  доставили к 18:00  это уже второй раз когда задерживают доставку  ;Городская среда
нет никакого листа руководства по прибору нет на приборе (исилетеле) названия  характеристик ;Городская среда
все хорошо в основном но не указан где стоит постамат на каком этаже приходиться его искать по всему магазину ;Городская среда
адрес пв один  а  -карты показывает совершенно другой  исправьте ошибку  ;Городская среда
неверно указано время работы пункта выдачи  ;Городская среда
привезли не в тот пунк выдачи  ;Городская среда
постамат размещен в узком проходе  всегда заставлен тележками магазина дикси  чтобы попасть к заказу  нужно все двигать самостоятельно   ужасное и неудачное размещение  больше не буду заказывать самовывоз из него  ;Городская среда
здание большое  а где пункт выдачи - неизвестно  хочется более подробной информации в приложении ;Городская среда
"неверно указан адрес: имеется ""пермякова д 50б "" должно быть ""пермякова д 50б/1 """;Городская среда
нет таблички с обозначением пункта;Городская среда
ужасно не понятно где находится сам пункт  плюс это место особо не вызывает доверия ;Городская среда
основной вход закрыт;Городская среда
кассир отказывался искать заказ;Городская среда
не было указателей где находится пастомат ;Городская среда
доступ к постамату только с qr-кодом с госуслуг  о чем не предупреждают перед оплатой  доводы о вакцинации за рубежом сотрудниками магазина-музея  а во внимание не принимаются ;Городская среда
неужели сложно в описании пункта выдачи написать  где именно его искать? по указанному адресу как минимум два места  подходящих под описание  фото входа ещё больше облегчило бы поиски;Городская среда
неправильно указано место нахождения постамата  адрес дома верный  однако вход абсолютно другой;Городская среда
постараться пришлось искать;Городская среда
не соответствие часов работы пункта выдачи ;Городская среда
нередко новые постамты    а располагаются в самых неожиданных местах  сведения о которых изначально покупателю не указывают  хотелось бы  чтобы при оповещении о доставке товара в постамты присутствовали фотографии мест  где они расположены с указанием  например  этажа  организации  к которой они привязаны или рядом с которой находятся  представьте себе  что постамт расположен в кремле  указание для получателя адреса: кремль шокирует  получатель шо  по всему кремлю должен бегать и искать эти едва заметные ящики? думается  вы со мной согласитесь  что это крайне неудобно  когда указан только адрес  спасибо за понимание ;Городская среда
на улице нет обозначение где находиться   карта точно не показывает место  ;Городская среда
при проверке даты производства аккумуляторо на официальном сайте производителя пишет что невозможно узнать точную дату  так как он произведен до июня 2021 года  ;Городская среда
постамат я поискала  здание по этому адресу имеет несколько входов  может я указатель не заметила  с товаром всё хорошо ;Городская среда
не туда отправили адрес доставки перепутали;Городская среда
неудачно выбрано место для пункта выдачи  график работы зависит от графика работы  обувной мастерской  в воскресенье не работал  вывески нет;Городская среда
неверный адрес   постомат не видел мой заказ;Городская среда
огромный длиннющий дом с кучей магазинов и ни одной вывески о том  где искать постаматы  хоть бы в приложении указали помимо адреса название магазина  в котором постамат стоит  ;Городская среда
в помещении  где постомат неприятный запах  перед входом в здание гололёд  в этом же здании со стороны 10-11 линий есть более облагороженные  помещение и вход ;Городская среда
поста  находился в магазине график которого был изменен в новогодние праздники о чем меня не предупредил  в связи с чем я не смогла самостоятельно забрать товар и пришлось искать другие варианты ;Городская среда
под адресом трнавская 61 записаны два строения  метка на карте указывает на жилой дом  по факту постамат находится в торговом центре  просьба поправить метку ;Городская среда
время работы постамата до 19 00  в 18 52 магазин был уже закрыт  пытался добиться от техподдержки ответа почему так вышло  обещали ответить в течении 12 часов  но со мной так никто и не связался;Городская среда
в приложении не показывает где расположен постомат ;Городская среда
в одном здание 2 пункта выдочи;Городская среда
не соответствует график выдачи с графиком работы магазина по данному адресу ;Городская среда
не совсем корректное описание пункта выдачи  т к вывеска поменялась ;Городская среда
пришел в снегопад после инфаркта 4 километра по указанному адресу в указанные часы работы в субботу  здание оказалось закрыто  указателей что там находится постомат    а нет  зато есть вывеска суббота и воскресение выходной  позвонил в поддержку  там дезинформировали что нужно зайти со двора и постомат в здании бизнес-центра  зашел со двора  там 2 посторонние организации с закрытыми дверьми  обошел снова к главному входу и уже собрался уходить  как дверь открылась и вышел охранник покурить  спрашиваю его: это бизнес-центр? на что охранник удивленно посмотрел и ответил нет  а постомат тут есть? есть от    а  а пройти к нему можно? зайдите пока я курю  ответил охранник  я в шоке от такого сервиса ?? впервые заказал с    а в ближайший постомат в 4км от дома и совершенно случайно смог забрать с него посылку  второй бы раз я уже не вернулся  да и не был уверен что найду его вообще  вдобавок продавец замотал зачем то 3 товара липким скочем и испортил оригинальную упаковку ??;Городская среда
в помещении нет никаких ориентиров   похоже на подсобное помещение для сотрудников   точный адрес череповецкая 4а  в описании показывает на дом 4 ;Городская среда
место  где находится постамат  изменило график работы (до 18:00)  но в приложении указано до 19:00;Городская среда
неправильно отмечен дом в картах  соседнее здание;Городская среда
описание местополижения пастомата не точное: вывеска другая (совершенно другая чем в описании)  не уточнено  что пастомат на 3-ем этаже жилого дома нет никаких указателей о пастомате  а ;Городская среда
"название магазина в котором пункт выдачи сменилось с ""нарофрукт"" на просто ""фрукты овощи""  я бы указала что вход находится справа от аптеки  иначе не очень понятно в какую дверь вообще заходить  ";Городская среда
пункт выдачи не работал  вход в здание был закрыт  время 18 47  20 01 2022  город-курорт кисловодск  улица вокзальная 17а  часы работы : ежедневно 10:00 – 19:00  третий этаж  указателей нет  разбирайтесь с собственником помещения  ;Городская среда
у пункта нет мусорного ведра ;Городская среда
ужасный пункт выдачи  который нереально найти  и находится в не самом надёжном месте  одна из баночек с тоником была повреждена  она теперь не может устойчиво стоять  и часть продукта просто вытекла ;Городская среда
было указано время доставки с 10 00 до 12 00  по факту привезли позже и само не предупредили  только после обращения в службу поддержки;Городская среда
"1  два раза перенесли срок; 2  пункт выдачи доступен с 10:00 утра  а в приложении и на карте режим работы указан с 9:00";Городская среда
"навигатор ведёт к обратной стороне здания  у вас обозначено  что постамат под вывеской "" ткани""   этот магазин закрыт  теперь тут аптека и магазин градусы ";Городская среда
доставка приехала во время  отличное от первоначального  описание местонахождения постамата составлено некорректно (наличие информации о пивной  арке и втором этаже не соответствует действительности);Городская среда
график работы постамата до 18:00  в будни как забрать товар если работа до 18:00? ;Городская среда
постмат был не по тому адресу было тяжело найти;Городская среда
"исправьте описание расположения постамата  вывеска ""цветочная база 24"" расположена по адресу:пролетарский проспект 18к1  лучше укажите : вход с торца 16к1 в цветочный магазин  ";Городская среда
доброго времени суток  найти постомат в самом помещении сложновато  помогли ;Городская среда
магазин отличный   доставили до пункта выдачи в срок  но а вот тц   где находится ваш постомат  очень странный  заявлено время работы с 10 00 - 19 00   один день поехал в 18 10 закрыт было  второй день приехал в 11 20 тоже закрыт  ;Городская среда
поставили постомат в подвале или курилке  я так и не понял что это за помещение  ;Городская среда
указанное время доставки в постомат чуть затянулось  ;Доставка
не однократно опаздывает доставка оператор предлогает либо отенить заказ либо ждать не известно сколько заказ был сформирован и оплачен 28 июня дата доставки стояла на 2 июля к 14 00 в итоги приехала только к 18 30 если не успеваете оплвещайте или расширьте штат что за отнашение ;Доставка
доставили не к 12 00 как было указано  ;Доставка
на сайте информация не соответствовала реальности  когда заказ уже пришел (было получено письмо) на сайте и в программе     было указано  что не успели доставить вовремя ;Доставка
обещали доставить к 18-00  а в итоге доставили в 19-30 пришлось забирать на следующий день;Доставка
все ужасно;Другое
ужасно  ;Другое
ужасно  ужасно  вынуждена прекратить с  ом сотрудничества;Другое
ужасно;Другое
ужасно ;Другое
не это на сайте ;Другое
ужасно ;Другое
ужасно одим словом;Другое
какие могут быть впечатления от обмана? разочарован;Другое
экран постомата некорректно работает  чуть сильнее нажать и выбивает другую цифру  ;Постамат
экран постомата некорректно работает  чуть сильнее нажать и выбивает другую цифру  ;Постамат
дисплей пункта выдачи неисправен ;Постамат
у мыши не работает правая кнопка  совсем возврат не возможно оформить  выбираешь курьером адрес и на этом всё ужасно ;Постамат
дисплей постомата   очень плохой отклик при наборе пароля;Постамат
брал как громкоговоритель  но говорить по нему невозможно  на какую кнопку ни нажмёшь  только одни сирены включаются  я разочарован ;Товар
в описании указано  что гирлянда на батарейках  а она от сети  мне такая не подходит  жаль потраченного времени;Товар
банка масла топлёного разбита и не подлежит использованию;Товар
переходник вообще не показывает картинку ;Товар
должно было быть 4 магнитных крепления в комплекте  но по факту оказалось 3 и 2 пластины без магнитов дверь в здание  где находится постамат была закрыта  хотя у вас в приложении время работы указано 00:00-23:55;Товар
получил шнур другой модели  более дешевый  не витой  короткий  без пружинок  обман  либо кто-то напутал  если так  исправьтесь ;Товар
объём не верный;Товар
всё как в описании 2 подшипника   сальник   смазка  ;Товар
всё как в описании  типоразмер  с  одновременно можно заряжать только 2 шт ;Товар
какие 16 миллионов цветов?  толко белый и красный и даже яркость не регулируется ;Товар
чехол в комплекте действительно хороший  к нему нет претензий  есть недовольство по поводу стекла: оно было ужасно заляпано не только с лицевой стороны  но и со стороны клеевой основы  поэтому приходилось много раз снимать его с экрана  чтобы убирать пылинки  из-за которых были пузыри;Товар
приехала совсем другая кружка  ужасно расстроена  так как это был подарок;Товар
насадки невозможно скрутить ;Товар
по поводу доставки вопросов нет   у выпрямителя короткий провод  неудобно пользоваться  ;Товар
отсутствует боковая кнопка фиксации ;Товар
в описании указано что набивка из хлопка  а на самом деле синтепон  слишком дорого за такой  я специально выбирал хлопок  иначе я задохнулся бы ночью ;Товар
писали  что с рассеивателем  а его нет  только сама лейка ;Товар
бутылка протекает в месте привинчивания крышки  пользоваться невозможно  до этого с другими бутылками никогда не было такой проблемы;Товар
невозможно понять как вставлять лезвие  в инструкции невозможно понять ;Товар
доброго времени суток я вновь обращаюсь с претензией  :(( теперь по поводу заказа № 125311942  его я получил в постомате меня очень насторожила упаковка товара (фен профессиональный) обычно мелкая бытовая  техника в коробке находится в картонных или пенопластовых футлярах  которые надежно фиксируют прибор во избежании повреждений при транспортировке а здесь фен был просто в целлофане и болтался в коробке  как маятник в часах   это нормально ? к тому же ни какой инструкции к прибору  я уже не говорю о гарантийном таллоне мне кажется  что вам нужно обратить внимание на продавца данного товара через вашу площадку и проверить его на контрафакт или продажу не кондиции и/или б/у визуально конечно я не заметил недостатков и прибор в рабочем состоянии  но осадок неприятный имеет место быть ожидаю обратной связи  всего доброго  с уважением ;Товар
в описании указанао для ulefone armor7 вырез под камеру не соответствует модели смартфона   расстроен очень  хотел до вылета покрыть смартфон защитной плёнкой  но увы  и вернуть товар не представиться вернуть в ближайшее время  постамат трудно найти нет вывески  ориентир  вывеска охлаждённое мясо   которая описана в    е  также отсутствует  ;Товар
